rank,task_id,suite,delta,comparison_mode,mcp_unique,repo,path
1,cilium-project-orient-001,ccb_understand,0.96,direct,False,cilium/cilium,tasks/ccb_understand/cilium-project-orient-001
2,terraform-plan-pipeline-qa-001,ccb_understand,0.95,direct,False,hashicorp/terraform,tasks/ccb_understand/terraform-plan-pipeline-qa-001
3,numpy-dtype-localize-001,ccb_understand,0.9333,direct,False,,tasks/ccb_understand/numpy-dtype-localize-001
4,k8s-dra-allocation-impact-001,ccb_design,0.9,direct,False,kubernetes/kubernetes,tasks/ccb_design/k8s-dra-allocation-impact-001
5,test-coverage-gap-001,ccb_test,0.88,direct,False,envoyproxy/envoy,tasks/ccb_test/test-coverage-gap-001
6,envoy-request-routing-qa-001,ccb_understand,0.87,direct,False,envoyproxy/envoy,tasks/ccb_understand/envoy-request-routing-qa-001
7,envoy-ext-authz-handoff-001,ccb_understand,0.83,direct,False,envoyproxy/envoy,tasks/ccb_understand/envoy-ext-authz-handoff-001
8,argocd-arch-orient-001,ccb_understand,0.81,direct,False,argoproj/argo-cd,tasks/ccb_understand/argocd-arch-orient-001
9,kafka-producer-bufpool-fix-001,ccb_fix,0.78,direct,False,apache/kafka,tasks/ccb_fix/kafka-producer-bufpool-fix-001
10,k8s-crd-lifecycle-arch-001,ccb_design,0.77,direct,False,kubernetes/kubernetes,tasks/ccb_design/k8s-crd-lifecycle-arch-001
11,camel-routing-arch-001,ccb_design,0.73,direct,False,apache/camel,tasks/ccb_design/camel-routing-arch-001
12,flink-checkpoint-arch-001,ccb_design,0.73,direct,False,apache/flink,tasks/ccb_design/flink-checkpoint-arch-001
13,k8s-scheduler-arch-001,ccb_design,0.72,direct,False,kubernetes/kubernetes,tasks/ccb_design/k8s-scheduler-arch-001
14,etcd-grpc-api-upgrade-001,ccb_design,0.7143,direct,False,,tasks/ccb_design/etcd-grpc-api-upgrade-001
15,rust-subtype-relation-refac-001,ccb_build,0.71,direct,False,rust-lang/rust,tasks/ccb_build/rust-subtype-relation-refac-001
16,grpcurl-transitive-vuln-001,ccb_secure,0.67,direct,False,fullstorydev/grpcurl,tasks/ccb_secure/grpcurl-transitive-vuln-001
17,openlibrary-solr-boolean-fix-001,ccb_fix,0.6667,direct,False,internetarchive/openlibrary,tasks/ccb_fix/openlibrary-solr-boolean-fix-001
18,terraform-state-backend-handoff-001,ccb_understand,0.63,direct,False,hashicorp/terraform,tasks/ccb_understand/terraform-state-backend-handoff-001
19,ghost-code-review-001,ccb_test,0.62,direct,False,Ghost,tasks/ccb_test/ghost-code-review-001
20,test-integration-002,ccb_test,0.53,direct,False,navidrome/navidrome,tasks/ccb_test/test-integration-002
21,test-unitgen-py-001,ccb_test,0.52,direct,False,django/django,tasks/ccb_test/test-unitgen-py-001
22,CCX-crossorg-061,ccb_mcp_crossorg,0.5,artifact,True,kubernetes/kubernetes,tasks/ccb_mcp_crossorg/ccx-crossorg-061
23,CCX-incident-031,ccb_mcp_incident,0.5,artifact,True,kubernetes/kubernetes,tasks/ccb_mcp_incident/ccx-incident-031
24,strata-fx-european-refac-001,ccb_build,0.48,direct,False,OpenGamma/Strata,tasks/ccb_build/strata-fx-european-refac-001
25,aspnetcore-code-review-001,ccb_test,0.46,direct,False,aspnetcore,tasks/ccb_test/aspnetcore-code-review-001
26,kafka-flink-streaming-arch-001,ccb_design,0.4,direct,False,apache/kafka,tasks/ccb_design/kafka-flink-streaming-arch-001
27,CCX-vuln-remed-014,ccb_mcp_security,0.3929,artifact,True,grafana/grafana,tasks/ccb_mcp_security/ccx-vuln-remed-014
28,flink-pricing-window-feat-001,ccb_build,0.39,direct,False,apache/flink,tasks/ccb_build/flink-pricing-window-feat-001
29,test-unitgen-go-001,ccb_test,0.38,direct,False,kubernetes/kubernetes,tasks/ccb_test/test-unitgen-go-001
